,graph,size,metric,time,error
402,erdos_renyi,80,degree,0.0005469322204589844,
403,erdos_renyi,80,betweenness,0.022752761840820312,
404,erdos_renyi,80,closeness,0.005780935287475586,
405,erdos_renyi,80,eigenvector,0.00517582893371582,
406,erdos_renyi,80,pagerank,0.00393223762512207,
407,erdos_renyi,80,harmonic,0.007900476455688477,
408,erdos_renyi,90,degree,0.0005972385406494141,
409,erdos_renyi,90,betweenness,0.029756546020507812,
410,erdos_renyi,90,closeness,0.0077626705169677734,
411,erdos_renyi,90,eigenvector,0.006806373596191406,
412,erdos_renyi,90,pagerank,0.00393223762512207,
413,erdos_renyi,90,harmonic,0.01014399528503418,
414,erdos_renyi,100,degree,0.0006349086761474609,
415,erdos_renyi,100,betweenness,0.03548693656921387,
416,erdos_renyi,100,closeness,0.00959014892578125,
417,erdos_renyi,100,eigenvector,0.007011890411376953,
418,erdos_renyi,100,pagerank,0.004294872283935547,
419,erdos_renyi,100,harmonic,0.011710643768310547,
420,watts_strogatz,10,degree,5.7220458984375e-05,
421,watts_strogatz,10,betweenness,0.0003123283386230469,
422,watts_strogatz,10,closeness,0.00016546249389648438,
423,watts_strogatz,10,eigenvector,0.0006916522979736328,
424,watts_strogatz,10,pagerank,0.006469249725341797,
425,watts_strogatz,10,harmonic,0.00019073486328125,
426,watts_strogatz,20,degree,8.726119995117188e-05,
427,watts_strogatz,20,betweenness,0.00107574462890625,
428,watts_strogatz,20,closeness,0.00036907196044921875,
429,watts_strogatz,20,eigenvector,0.004696369171142578,
430,watts_strogatz,20,pagerank,0.005319356918334961,
431,watts_strogatz,20,harmonic,0.0006165504455566406,
432,watts_strogatz,30,degree,0.00012350082397460938,
433,watts_strogatz,30,betweenness,0.0028533935546875,
434,watts_strogatz,30,closeness,0.0007436275482177734,
435,watts_strogatz,30,eigenvector,0.014407873153686523,
436,watts_strogatz,30,pagerank,0.006283283233642578,
437,watts_strogatz,30,harmonic,0.001104593276977539,
438,watts_strogatz,40,degree,0.00021791458129882812,
439,watts_strogatz,40,betweenness,0.0037364959716796875,
